Date,Population
1/5/24,1652
1/12/24,1618
1/19/24,1631
1/26/24,1639
2/2/24,1668
2/9/24,1647
2/16/24,1666
2/23/24,1649
3/1/24,1643
3/8/24,1655
3/15/24,1641
3/22/24,1647
3/29/24,1666
4/5/24,1617
4/12/24,1575
4/19/24,1570
4/26/24,1594
5/3/24,1602
5/10/24,1584
5/17/24,1605
5/24/24,1626
5/31/24,1629
6/7/24,1620
6/14/24,1647
6/21/24,1668
6/28/24,1678
7/5/24,1677
7/12/24,1662
7/19/24,1663
7/26/24,1661
8/2/24,1673
8/9/24,1655
8/16/24,1667
8/23/24,1676
8/30/24,1671
9/6/24,1675
9/13/24,1657
9/20/24,1667
9/27/24,1679
10/4/24,1679
10/11/24,1668
10/18/24,1673
10/25/24,1684
11/1/24,1680
11/8/24,1672
11/15/24,1645
11/22/24,1653
11/29/24,1659
12/6/24,1659
12/13/24,1661
12/20/24,1661
12/27/24,1671
1/3/25,1664
1/10/25,1653
1/17/25,1681
1/24/25,1659
1/31/25,1676
2/7/25,1660
2/14/25,1653
2/21/25,1692
2/27/25,1686
3/7/25,1671
3/14/25,1671
3/21/25,1694
3/28/25,1705
4/4/25,1733
4/11/25,1725
4/18/25,1745
4/25/25,1758
